,id,Division,Jira_ticket,State,Name,Notes,Merge,Legacy_URL,New_URL,Page_title
12,13,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,"Duplicate; From DCI: Consider ways to clarify the path between resident and non-resident. Cards/tiles? ""Are you a Missouri resident?"" and other descriptive text to help. Consider using ""Business Entity Producers"" to distinguish entities. ",,https://insurance.mo.gov/agents/entity/renew_license.php,,Renew Your License
13,14,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,"Duplicate; From DCI: Consider ways to clarify the path between resident and non-resident. Cards/tiles? ""Are you a Missouri resident?"" and other descriptive text to help. Consider using ""Business Entity Producers"" to distinguish entities. ",,https://insurance.mo.gov/agents/nonresident/nonres_agent_licmaint.php,,Maintaining Non-Resident License
14,15,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,"Duplicate; From DCI: ""Update"" is the preferred language over ""Maintain"". Note: We'll have significantly reduced pages, with a dedicated page, for instance, to non-resident producers, which will hold just about all the current content on the links in that section. ",,https://insurance.mo.gov/agents/nonresident/nonres_agent_licreq.php,,Non-Resident Producer Licensing Application & Requirements
15,16,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-391,In Progress,Alex,"From DCI: ""Update"" is the preferred language over ""Maintain"". Note: We'll have significantly reduced pages, with a dedicated page, for instance, to non-resident producers, which will hold just about all the current content on the links in that section. ",,https://insurance.mo.gov/agents/publicadjusters.php,,Public Adjusters
16,17,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,"Duplicate; From DCI: Belongs in Other Licensees. Don't need to define public adjusters. Need friendly content that DCI will maintain, rather than trying to restate regulation that defines public adjuster. Eventually will link to an online portal for this. DCI can provide a sentence on PA and Solicitor. Possibly a singe page with accordions. ",,https://insurance.mo.gov/agents/resident/res_agent_licmaint.php,,Maintaining Your New Resident License
17,18,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-430,Not migrating,,"Duplicate; From DCI: ""Update"" instead of ""Maintain"". Incorporate this into a larger page about Resident Producers. ",,https://insurance.mo.gov/agents/resident/res_agent_licreq.php,,Resident Producer Licensing Application & Requirements
18,19,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-352,Client Review,DCI,"From DCI: Rotational gallery or images. Also videos, accordions. Largely bring over as-is. Video gallery? Replace custom CTAs with cards. ",,https://insurance.mo.gov/captive/,https://insurance-new.mo.gov/topic/11,Missouri Captive Insurance Program 
19,20,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-352,Content Review,Jim,Issue with wide table and sidebar menu,,https://insurance.mo.gov/captive/providers.php,https://insurance-new.mo.gov/topic/11/authorized-captive-insurance-service-providers-0,Authorized Captive Insurance Service Providers
20,21,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-312,In Progress,Jim,Companies section would benefit from a low-fi design. From DCI: DCI will sit down with company reg folks to help organize information on the main companies page. ,,https://insurance.mo.gov/companies/CertifiedReinsurers.php,https://insurance-new.mo.gov/certified-reinsurers,Current Certified Reinsurers
21,22,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,In Progress,DCI,Page is setup w/ view DCI will be migrating the individual actions,,https://insurance.mo.gov/companies/co-regulation-actions.php,https://insurance-new.mo.gov/company-regulation-actions,Company Regulation Actions
22,23,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-402,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/companies/consumer-alert-business-interruption-covid19.php,,Consumer Alert: Business Interruption Insurance and COVID-19
23,24,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-442,Content Review,,,,https://insurance.mo.gov/companies/how-to-submit-financial-filings.php,https://insurance-new.mo.gov/how-submit-financial-filings-dci,How to Submit Financial Filings with DCI
24,25,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Content Review,Sarah P,,,https://insurance.mo.gov/companies/ins-co-prod-filing-disapproval-actions.php,,Insurance Company Product Filing Disapproval Actions
25,26,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Content Review,Sarah P,,,https://insurance.mo.gov/companies/ins-co-rate-rule-form.php ,,"Insurance Company Rate, Rule and Policy Form Filings"
26,27,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,In Progress,Alex,,,https://insurance.mo.gov/companies/notices.php,,Notices
27,28,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-312,Content Review,Jim,,,https://insurance.mo.gov/companies/other-reinsurers.php,https://insurance-new.mo.gov/reinsurers,Other Reinsurers
28,29,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Content Review,Sarah P,,,https://insurance.mo.gov/companies/receiv.php,https://insurance-new.mo.gov/topic/41/companies-receivership,Companies in Receivership
29,30,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-312,Content Review,Jim,,,https://insurance.mo.gov/companies/ReciprocalJurisdictionReinsurers.php,https://insurance-new.mo.gov/reciprocal-jurisdiction-reinsurers,Reciprocal Jurisdiction Reinsurers
30,31,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Content Review,Sarah P,,,https://insurance.mo.gov/CompanyAgentSearch/AgentSearch/agentsearch.php,,Insurance Agent/Agency Search
31,32,Insurance,,Client Review,DCI,,,https://insurance.mo.gov/CompanyAgentSearch/CompanySearch/compSearch.php,https://insurance-new.mo.gov/find-insurance-company,Find an Insurance Company
32,33,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-441,Content Review,Sarah P,,,https://insurance.mo.gov/CompanyAgentSearch/CompanySearch/disapproval-property-casualty.php,,Property and Casualty Disapproval Actions
33,34,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-402,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/anthem/index.php,,Anthem Data Breach
34,35,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,From DCI: DCI needs an internal discussion on the scope of content needed on the topic of autism. Could possibly create a single parent-oriented (consumer) page on autism.,,https://insurance.mo.gov/consumers/autismFAQ/Autismparentresourcecenter.php,https://insurance-new.mo.gov/autism-and-related-insurance-resources/autism-parent-resource-center,Autism Parent Resource Center
35,36,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/autismFAQ/Autismproviderresourcecenter.php,,Autism Provider Resource Center
36,37,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,From DCI: DCI needs an internal discussion on the scope of content needed on the topic of autism. Could possibly create a single parent-oriented (consumer) page on autism.,,https://insurance.mo.gov/consumers/autismFAQ/autismreport.php,https://insurance-new.mo.gov/autism-and-related-insurance-resources/autism-report-aba-limits,Autism Report & ABA Limits
37,38,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/autismsummit.php,,Autism Summit
38,39,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/auto/auto_policies.php,,Auto Policies
39,40,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/cancellation.php,https://insurance-new.mo.gov/cancellation-or-non-renewal-your-policy,Cancellation or non-renewal of your policy
40,41,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/claim.php,https://insurance-new.mo.gov/filing-claim,Filing a claim
41,42,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/complaint.php,https://insurance-new.mo.gov/what-do-if-you-have-complaint,What to do if you have a complaint
42,43,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/howdeterm.php,https://insurance-new.mo.gov/how-are-insurance-rates-determined,How are insurance rates determined?
43,44,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/index.php,https://insurance-new.mo.gov/consumer-guide-automobile-insurance,Consumer guide to automobile insurance
44,45,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/investigate.php,https://insurance-new.mo.gov/investigating-complaint,Investigating a complaint
45,46,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/liability.php,https://insurance-new.mo.gov/liability-insurance-coverage,Liability Insurance Coverage
46,47,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/mjua.php,https://insurance-new.mo.gov/if-you-cannot-get-auto-insurance,If you cannot get auto insurance... 
47,48,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/othertypes.php,https://insurance-new.mo.gov/other-types-automobile-insurance,Other types of automobile insurance
48,49,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/selectagt.php,https://insurance-new.mo.gov/selecting-insurance-agent-or-broker,Selecting an insurance agent or broker
49,50,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/tips.php,https://insurance-new.mo.gov/tips-lowering-premiums,Tips on lowering premiums
50,51,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/understand.php,https://insurance-new.mo.gov/understanding-your-automobile-insurance-policy,Understanding your automobile insurance policy
51,52,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/whocovered.php,https://insurance-new.mo.gov/who-covered-under-auto-insurance-policy,Insurance Policy Coverage
52,53,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/whoneeds.php,https://insurance-new.mo.gov/who-needs-auto-insurance,Who needs auto insurance?
53,54,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autobuy/worksheet.php,https://insurance-new.mo.gov/automobile-insurance-quotation-worksheet,Automobile insurance quotation worksheet
54,55,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-303,Content Review,Jim,,,https://insurance.mo.gov/consumers/auto/autoCredit.php,https://insurance-new.mo.gov/auto-credit-scoring,Auto Credit Scoring
55,56,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,Content Review,Jim,,,https://insurance.mo.gov/consumers/complaints/nonreg.php,https://insurance-new.mo.gov/topic/16/filing-complaints-against-health-plans-not-regulated-dci,Filing Complaints Against Health Plans Not Regulated by DCI
56,57,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,In Progress,DaVaris,,,https://insurance.mo.gov/consumers/faq/,https://insurance-new.mo.gov/frequently-asked-questions,Frequently Asked Questions
57,58,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/faq/anthem-settlement-faqs.php,,Anthem Settlement FAQs
58,59,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,Not migrating,,DELETED / NOT MIGRATING as per 7/12 email from MODCI Legal team,,https://insurance.mo.gov/consumers/faq/conseco.php,,Conseco Class Action Settlement Summary
59,60,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/health/coverages.php,https://insurance-new.mo.gov/health-insurance/health-insurance-mandates-missouri,Health Insurance
60,61,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/health/external-arbitration-process.php,https://insurance-new.mo.gov/health-insurance/external-arbitration-process-out-network-surprise-bills,External Arbitration Process for Out-of-Network Surprise Bills
61,62,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/health/externalreviewprocess.php,https://insurance-new.mo.gov/health-insurance/external-review-process,External Review Process
62,63,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/health/GeographicAreasComments.php,https://insurance-new.mo.gov/health-insurance/geographic-rating-areas,Geographic Rating Areas
63,64,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/health/index.php,https://insurance-new.mo.gov/health-insurance,Health Insurance
64,65,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Not migrating,,DELETED / NOT MIGRATING; From DCI: Still has DIFP listed on the page.,,https://insurance.mo.gov/consumers/health/MLRhearing.php,,Hearing on Medical Loss Ratio (MLR) Implementation
65,66,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/health/no-surprises-act.php,https://insurance-new.mo.gov/health-insurance/no-surprises-act,No Surprises Act
66,67,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-422,Content Review,Jim,,,https://insurance.mo.gov/consumers/health/providercomplaints.php,https://insurance-new.mo.gov/topic/16/health-care-providers-complaint-process,Health Care Providers - Complaint Process
67,68,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-392,Not migrating,,Duplicate,,https://insurance.mo.gov/consumers/home/EQTable.php,,Earthquake Insurance
68,69,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-387,Done,Jim,File has been migrated and linked,,https://insurance.mo.gov/consumers/home/homeinventorychecklist.php,https://insurance-new.mo.gov/sites/insurance/files/2024-08/HomeInventoryChecklist.pdf,Home Inventory Checklist
69,70,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-387,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/home/homeowners_policies.php,,Homeowners Policies
70,71,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-387,Content Review,Jim,,,https://insurance.mo.gov/consumers/home/loweringpremium.php,https://insurance-new.mo.gov/lowering-your-premium,Insurance FAQs
71,72,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-422,Not migrating,,Redirects to external app,,https://insurance.mo.gov/consumers/life-annuities/annuities-request.php,,Life Insurance Policy Locator Service
72,73,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-422,Content Review,Jim,,,https://insurance.mo.gov/consumers/life-annuities/annuities.php,https://insurance-new.mo.gov/topic/311,Annuities
73,74,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-422,Content Review,Jim,,,https://insurance.mo.gov/consumers/life-annuities/STOLI.php,https://insurance-new.mo.gov/STOLI,Stranger-Oriented Life Insurance (STOLI) Policies
74,75,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/LongTerm/,https://insurance-new.mo.gov/long-term-care-insurance,Long-Term Care Insurance
75,76,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-422,Client Review,DCI,,,https://insurance.mo.gov/consumers/LongTerm/partnership.php,https://insurance-new.mo.gov/topic/301/partnership,Companies Selling Partnership Policies in Missouri
76,77,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-409,Client Review,DCI,,,https://insurance.mo.gov/consumers/LongTerm/resources.php,https://insurance-new.mo.gov/long-term-care-insurance/long-term-care-resources,Links and Resources
77,78,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-422,Client Review,DCI,,,https://insurance.mo.gov/consumers/LongTerm/types_of_services.php,https://insurance-new.mo.gov/long-term-care-insurance/types-long-term-care-services,Types of Long-Term Care Services
78,79,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-392,Content Review,Jim,,,https://insurance.mo.gov/consumers/renters.php,https://insurance-new.mo.gov/renters-insurance-information,Renters Insurance Information
79,80,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-402,Client Review,DCI,Reviewed,,https://insurance.mo.gov/consumers/smallbusiness/commercial.php,https://insurance-new.mo.gov/small-business-insurance/business-interruption-insurance,Small Business - Business Interruption Insurance
80,81,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-402,Client Review,DCI,,,https://insurance.mo.gov/consumers/smallbusiness/health.php,https://insurance-new.mo.gov/small-business-insurance/group-health-insurance,Small Business - Health Insurance Information
81,82,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-402,Client Review,DCI,Reviewed,,https://insurance.mo.gov/consumers/smallbusiness/hsa_index.php,https://insurance-new.mo.gov/small-business-insurance/tax-protected-accounts,Tax-Protected Accounts
82,83,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/teens/educators.php,,Insurance Education Initiative Educator Resources
83,84,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/teens/fraudquiz.php,,Insurance Fraud Quiz
84,85,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-408,Content Review,,From DCI: Content needs to be updated.,,https://insurance.mo.gov/consumers/tips.php,https://insurance-new.mo.gov/consumer-resources,Insurance Tips
85,86,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Content Review,Jim,,,https://insurance.mo.gov/consumers/wc/20-CSR-500-6-960.php,https://insurance-new.mo.gov/20-csr-500-6-960,Code of State Regulations 20 CSR 500-6.960
86,87,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Content Review,Jim,,,https://insurance.mo.gov/consumers/wc/losscostmultipliers.php,https://insurance-new.mo.gov/loss-cost-multipliers,Loss Cost Multipliers
87,88,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Content Review,Jim,,,https://insurance.mo.gov/consumers/wc/miscellaneous_values.php,https://insurance-new.mo.gov/miscellaneous-values,Miscellaneous Values
88,89,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,In Progress,DCI,Manual migration - filings content type,,https://insurance.mo.gov/consumers/wc/NCCI_filings.php,https://insurance-new.mo.gov/node/85131,National Council on Compensation Insurance Filings
89,90,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Client Review,DCI,,,https://insurance.mo.gov/consumers/wc/NCCI.php,https://insurance-new.mo.gov/workers-compensation/national-council-compensation-insurance,National Council on Compensation Insurance
90,91,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Content Review,Jim,There was discussion on the call to do something about the tabular information on the page,,https://insurance.mo.gov/consumers/wc/producer_information.php,https://insurance-new.mo.gov/producer-information,Producer Information
91,92,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Content Review,Jim,,,https://insurance.mo.gov/consumers/wc/special_rules.php,https://insurance-new.mo.gov/special-rules,Special Rules
92,93,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Content Review,Jim,Needs updated links,,https://insurance.mo.gov/consumers/wc/wcarp.php,https://insurance-new.mo.gov/workers-compensation-assigned-risk-pool,Workers' Compensation Assigned Risk Pool
93,94,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Client Review,DCI,,,https://insurance.mo.gov/consumers/wc/wcdrb.php,https://insurance-new.mo.gov/workers-compensation/workers-compensation-determinations-review-board,Workers' Compensation Determinations Review Board
94,95,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-382,Client Review,DCI,,,https://insurance.mo.gov/consumers/wc/wcratehistory.php,https://insurance-new.mo.gov/workers-compensation/workers-compensation-rate-history,Workers' Compensation Rate History
95,96,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-392,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/consumers/weather/floodresources.php,,Resources for Flood Victims
96,97,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-392,Content Review,Jim,,,https://insurance.mo.gov/consumers/weather/insurance-companies.php,https://insurance-new.mo.gov/severe-weather-insurance-companies,Severe Weather Insurance Companies
97,98,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-392,Content Review,Jim,,,https://insurance.mo.gov/consumers/weather/resources_for_severeweather.php,https://insurance-new.mo.gov/resources-severe-weather-victims,Resources for Severe Weather Victims
98,99,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-380,Done,,Consolidated with Industry FAQs,,https://insurance.mo.gov/faq.php,https://insurance-new.mo.gov/topic/121,Insurance FAQs
99,100,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,In Progress,Alex,,,https://insurance.mo.gov/galen/,,Galen Insurance Company in Liquidation
100,101,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,In Progress,Alex,,,https://insurance.mo.gov/galen/distributions-early-access.php,,Galen Insurance Company in Liquidation Distributions & Early Access
101,102,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,In Progress,Alex,,,https://insurance.mo.gov/galen/galen-faqs.php,,Galen Insurance Company in Liquidation Frequently Asked Questions
102,103,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,In Progress,Alex,,,https://insurance.mo.gov/galen/pleadings-notices.php,,Galen Insurance Company in Liquidation Pleadings/Notices
103,104,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/genam/,,General American News
104,105,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/genam/court.php,,Exhibit for MetLife-General American
105,106,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/genam/faq.php,,"GAMHC Liquidation Process, Distributions FAQs"
106,107,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-431,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/genam/newsSumm.php,,General American News and Timeline
107,108,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-321,Content Review,Jim,,,https://insurance.mo.gov/help/contact.php,https://insurance-new.mo.gov/topic/31/contact-us,Contact Us
108,109,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-321,Content Review,Jim,,,https://insurance.mo.gov/help/map.php,https://insurance-new.mo.gov/topic/31/map,Directions to Insurance Offices
109,110,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-312,Content Review,Jim,,,https://insurance.mo.gov/industry/,https://insurance-new.mo.gov/industry-forms,Industry Forms
110,111,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-442,Content Review,Jim,,,https://insurance.mo.gov/industry/arbitrationcapmodot.php,https://insurance-new.mo.gov/construction-claims-arbitration-cap-mo-dept-trans,Construction Claims Arbitration Cap for MO Dept. of Trans.
111,112,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-390,Content Review,Sarah P,,,https://insurance.mo.gov/industry/EligibleSL.php,,Eligible Surplus Lines Insurers
112,113,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-442,Content Review,Jim,,,https://insurance.mo.gov/industry/expfundcap.php,https://insurance-new.mo.gov/industry-limits-and-caps/state-legal-expense-fund-cap,State Legal Expense Fund Cap
113,114,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-380,Content Review,Jim,,,https://insurance.mo.gov/industry/faq/index.php,https://insurance-new.mo.gov/topic/121,Insurance Industry FAQs
114,115,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-442,Content Review,Jim,,,https://insurance.mo.gov/industry/fees/index.php,https://insurance-new.mo.gov/industry-fees,Insurance Industry Fees
115,116,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-386,Not migrating,,DELETED / NOT MIGRATING,,https://insurance.mo.gov/industry/filings/admissions/dor.php,,Motorist Insurance Information Database
116,117,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-386,Content Review,Jim,,,https://insurance.mo.gov/industry/filings/admissions/fees.php,https://insurance-new.mo.gov/admission-surplus-requirements-and-fees,Admission Surplus Requirements and Fees
117,118,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-386,Content Review,Jim,,,https://insurance.mo.gov/industry/filings/admissions/index.php,https://insurance-new.mo.gov/topic/106/admissions-filing-instructions,Admissions Filing Instructions
118,119,Insurance,https://portland-webworks.atlassian.net/browse/MDCI-386,Content Review,Jim,,,https://insurance.mo.gov/industry/filings/healthrates/,https://insurance-new.mo.gov/health-insurance-rate-filings-2025-plan-year,Health Insurance Rate Filing
